other_links.entity_id	Full Name	Full name (vernacular)	First name	Last name	Title (same as alias?)	Alias	VIAF ID	Old Occupation data from Kircher DB	expertise/interests	expertise/interests major fields	Networks	office/position	Communities	Religion	Gender	Language(s)	Published/circulated author?	Publication details	Spouse Name	Location born (city, country)	birthdate	Location died (city, country)	deathdate	Biographical notes	comments
47030.0	Endter, Johann Andreas	Johann Andreas Endter	Johann Andreas	Endter				publisher				publisher	professional		male	latin:1									
47031.0	Endter, Wolfgang	Wolfgang Endter	Wolfgang	Endter				publisher				publisher	professional		male	latin:1									
47036.0	Faber, Joseph Wilhelm	Johann Wilhelm Faber	Johann Wilhelm	Faber											male	latin:2									
47038.0	Fabbrini, Antonio Maria	Antonio Maria Fabbrini	Antonio Maria	Fabbrini											male	italian:1									
47039.0	Fabrizzio, Constantino	Constantino Fabrizzio	Constantino	Fabrizzio				physician,medico ordinario della citt	medicine	natural philosophy	natural philosophy	physician	professional		male	italian:1									
47041.0	Felici, Stefano	Stefano Felici	Stefano	Felici											male	italian:1									
47044.0	Freyberg, Albrecht Ernst von	Albrecht Ernst von Freyberg	Albrecht Ernst von	Freyberg											male	latin:1									
47047.0	Gaeotti, Marcantonio	Marcantonio Gaeotti	Marcantonio	Gaeotti		different name									male	latin,hebrew:1									
47048.0	Gaigeart, Renée	Renée Gaigeart	Renée	Gaigeart		Gaigeard									male	french:1									
47051.0	Gartino, Giovanni	Giovanni Gartino	Giovanni	Gartino		different name									male	german:1									
47053.0	Gatto, Giovanni Battista	Giovanni Battista Gatto	Giovanni Battista	Gatto		different name?									male	latin:1									
47060.0	Gening, Amerdey	Amerdey Gening	Amerdey	Gening											male	italian:1									
47064.0	Gerwick, Johannes	Johannes Gerwick	Johannes	Gerwick											male	latin:2;italian:1									
47077.0	Gramann, Johann Hartmann	Johann Hartmann Gramann	Johann Hartmann	Gramann				physician to the Grand Duke of Muscovy,physician	medicine	natural philosophy	natural philosophy	physician	professional		male	latin:1	Yes	Friderici, Johann Arnold, and Johann Hartmann Gramann. ... Dissertationem Inauguralem De Phthisi. Jenae: Nisius, 1667; Friderici, Johann Arnold, Johannes Arnoldus Friderici, Johannes Hartmannus Graman, Johann Hartmann Gramann, and Johann Theodor Schenck. Consentiente. Et. Suffragante. Illustri. Facultate. Medica. Praeside. ... Johanne. Arnoldo. Friderici. ... Dissertationem. Inauguralem. De. Phthisi. Pro. Licentia. Summos. In Arte. Medica. Honores. Et. Privilegia. Doctoralia. Legitime. Consequendi. Publicae. Luci. Sistens. ... Disquisitioni. Submittit. Johannes. Hartmannus. Graman. Moscoviensis. ...: Ad. Diem. Iunii. A.R.S. M.DC.LXVII. Ienae: Nisius, 1667. 							
47094.0	Haller, Georg	Georg Haller	Georg	Haller											male	latin:1									
47103.0	Hauptmann, August	August Hauptmann	August	Hauptmann			3.7908338E7	physician	natural philosophy,medicine	natural philosophy	natural philosophy	physician	professional		male	latin:3	Yes	Neues Chymisches Kunst-Project und sehr wichtiges Bergk-Bedencken: Vber die allergro_sten Hauptma_ngel des Bergckwercks ...; Benebenst einen vollkommenen Bergk-Bericht. Leipzig: Lo_ffler, 1658; Reibehand, Christoph, and August Hauptmann. Neun und siebentzig grosse und sonderbahre Wunder so in einem special-angegeben Subjecto Theils von der Natur, Theils aber in der gefu_hrten Arbeit sich befunden haben. Gotha: Verlegts Jacob Mevius, 1725; De genuino acidulas egranas salubriter usurpandi modo. Lipsiae: Typis haeredum Timothei Ho_nii, 1651; Insignes aliquot Viticulturæ Errores, Eximis naturæ fundamentis, & tribus ejusdem regnis, secundum veræ Philosophiæ trutinam, & mirae Chymiæ Cynosuram deducti atq[ue] detecti, Das ist: Vberauß grosse Weinbaws-Jrrthumbe: Auß den innersten Gru_nden der Natur/ vnd deroselben dreyen Reichen/ nach der waaren philosophischen Richtschnur/ vnd wundersamen Chymischen Winckelmaß heraußgesuchet und ero_ffnet. Nu_rnberg: Endter, 1642. 			1607.0		1674.0		
47105.0	Hellwig, Johann	Johann Hellwig	Johann	Hellwig			2.5403127E7	physician, author	medicine	natural philosophy	natural philosophy	physician	professional		male	latin:2				Nurenberg, Germany	1609.0	Regensburg, Germany	1674.0	Could this be Johann Otto von Hellwig (1654-98), author of alchemical books? If so, these are the publications: Hellwig, Johann Otto von, and Christoph von Hellwig. Johannis Ottonis, Libr. Baronis de Helvvig ... Arcana maiora, oder, Curio_se und nu_tzliche Beschreibung vieler wahrhaften physicalischen, medicinischen, chymischen, alchymischen, chyrugischen und oeconomischen Geheimnisse aus weltberu_hmter Leute so wohl indianischen Braminen oder Weltweisen. Franckfurth: verlegts Michael Ka_yser, 1712; Johannis Ottonis Helbigii Thuringi Introitus in veram atque inauditam physicam epistola_ ex India Orientali in Europam ad ... Academiam Naturae Curiosorum transmissa apertus. [Hamburg]: Prostat Hamburgi apud Gothofredum Schultze, 1680. 	
47106.0	Helm, Leonard	Leonhard Helm	Leonhard	Helm											male	latin:1									
47117.0	Hoeckner, Johann Wolfgang	Johann Wolfgang Hoeckner	Johann Wolfgang	Hoeckner				Jurist, City Councilor (Regensburg)				jurist,councillor	secular_official		male	latin:1	Yes	Meyerhoffer, Georg Christoff, Johann Wolfgang Ho_ckhner, Esaias Feischel, and Anna Margaretha Feischel. Als Die Edle ... Fraw Anna Margaretha Feischlin, gebohrne Go_tzin, Deß ... Herrn Esaiae Feischel, Beyder Rechten wu_rdigen Doctorandi, Hertzgeliebte Haußfraw Den 16. Augusti 1673. lauffenden Jahrs ... entschlaffen, den folgenden 19. gedachten Monaths zur Erden besta_ttiget, Haben ihr Christlich Mittleiden bezeugen wollen Etliche gute Freund und Landsleuth. Straßburg: Welper, 1673.							
47118.0	Hofer, Alexander	Alexander Hofer	Alexander	Hofer											male	latin:2									
47119.0	Hoffmann, Georg	Georg Hoffmann	Georg	Hoffmann											male	latin:1									
47121.0	Honigh, Johann	Johann Honigh	Johann	Honigh											male	french:1;latin:1									
47124.0	Horst, Johann Daniel	Johann Daniel Horst	Johann Daniel	Horst			1.3105221E7	physician	medicine	natural philosophy	natural philosophy	physician	professional		male	latin:1	Yes	Rivie_re, Lazare, Johann Jakob Doebel, and Johann Daniel Horst. Opera medica universa; quibus continentur, I. Institutionum medicarum libri quinque. II. Praxeos medicae libri septemdecim. III. Observationum medicarum centuriae quatuor. Quibus accedunt Observationes variae ab aliis communicatae: ite_mque Observationes infrequentium morborum. Ac denique ipsissima Arcana Riverii plene_ revelata. Lugduni: Sumptibus Anisson, & Joannis Posu_el, 1698; Io: Danielis Horstii Embser Bades Beschreibung. Germany?: s.n.], 1676; Horst, Johann Daniel, Johann Daniel Major, and Johann Tacke. Judicium de chirurgia infusoria Jo. Danielis Majoris. [Frankfurt am Main]: Apud Georg Fickwirt, 1665; Physica Hippocratea, Tackenii, Helmontii, Cartesii, Espagnet, Boylei, &c. aliorumque recentiorum commentis illustrata. Francofurti: Sumptibus Friderici Knochii, typis Johann. Andreae, 1682; etc.			1616.0		1685.0		
47143.0	Khonn (Kuhn), Alphonsus	Alphonsus Khonn (Kuhn)	Alphonsus	Khonn (Kuhn)				physician	medicine	natural philosophy	natural philosophy	physician	professional		male	latin,italian:1;latin:2;italian:2	Yes	Zachia, Paulus, and Alphonsus Khonn. Pauli Zachiæ, Medici Romani De Affectionibus Hypochondriacis Libri Tres. Augustae Vindelicorum: Go_rlinus, 1671; Transmutatio metallica curiosa et genuina. 1713. 							
47153.0	Krause, Benjamin	Benjamin Krause	Benjamin	Krause		Gottlieb Benjamin Krause									male	latin:2	Yes	Oratio, de togata virtute, Strassbourg 1649.							
47160.0	La Mare, Philibert de	Philibert de La Mare	Philibert de	La Mare											male	latin:1	Yes								
47162.0	Landsberg, Friedrich von	Friedrich von Landsberg	Friedrich von	Landsberg											male	latin:2									
47165.0	Langetl, Friedrich Christian	Friedrich Christian Langetl	Friedrich Christian	Langetl											male	latin:1									
47170.0	Legato, Lorenzo	Lorenzo Legato	Lorenzo	Legato				physician	medicine	natural philosophy	natural philosophy	physician	professional		male	latin:2									
47175.0	Lettieri, Donato Angelo di	Donato Angelo di Lettieri	Donato Angelo di	Lettieri											male	italian:2									
47184.0	Loreti, Elia Giorgio	Elia Giorgio Loreti	Elia Giorgio	Loreti		Georg Elias Loretus									male	latin:1									
47187.0	Maffei, Raffaello	Raffaello Maffei	Raffaello	Maffei											male	italian:6;latin:1									biographical dates uncertain
47190.0	Magirus, Joannes	Joannes Magirus	Joannes	Magirus					antiquarianism	history/classical scholarship	history/classical scholarship	archivist			male	latin:1	Yes	Ceremoniale Brandeburgicum, Tremoniae 1699.						archivist by Fridrich III von Brandenburg	
47192.0	Magni, Cornelio	Cornelio Magni	Cornelio	Magni				writer, traveler/explorer	travel/exploration	travel/exploration,religious/morality	travel/exploration,religious/morality				male	italian:2	Yes	Quanto di piu_ curioso e vago ha_ potuto raccorre Cornelio Magni nel primo biennio da esso consumato in viaggi e dimore per la Turchia resta distribuito in questa prima parte, parma 1692. Relazione della citta_ d'Athene, colle prouincie dell' Attica, Focia, Beozia, e Negroponte, ne' tempi, che furono queste passeggiate, Parma 1688.						what kind of writer?	
47201.0	Marciano, Lorenzo di	Lorenzo di Marciano	Lorenzo di	Marciano											male	italian:1									
47204.0	Martini, Francesco	Francesco Martini	Francesco	Martini											male	italian:1;latin:1									
47214.0	Massol, Pierre	Pierre Massol	Pierre	Massol				President 				president,councillor	secular_official		male	latin:2								president  of the Chambre des Comptes de Bourgogne, counsellor of the King.	
47218.0	Mello, Lusitano de	Lusitano de Mello	Lusitano de	Mello											male	latin:1									
47223.0	Mère, Gaspard de	Gaspard de Mère	Gaspard de	Mère											male	latin:5									
47227.0	Miller, Johann Baptist	Johann Baptist Miller	Johann Baptist	Miller											male	italian:1									
47232.0	Molinaeus, Jacobus	Jacobus Molinaeus	Jacobus	Molinaeus		Jacques du Moulin, James du Molins, James Miln						academy member 	professional		male	latin:1								member of Royal Society	
47234.0	Moltke, Levin Claus	Levin Claus Molthe	Levin Claus	Molthe		Moltke						councillor 			male	latin:3	Yes							councillor at Holstein-Gottorf court	
47243.0	Moscheni, Carlo	Carlo Moscheni	Carlo	Moscheni				writer							male	latin:2;italian:1	Yes	Letter missiue, e responsiue delle bestie, Venezia 1680.						what kind of writer?	
47247.0	Müntzer, Georg	Georg Müntzer	Georg	Müntzer											male	latin:2	Yes	Octavarium mariale, d. i. acht Predigen auf die Octav der Himmelfahrt Mariae etc., 1669.							
47251.0	Nardi, Giovanni	Giovanni Nardi	Giovanni	Nardi					medicine	natural philosophy	natural philosophy	physician			male	latin:2;italian:2	Yes	De rore disquisitio physica, Firenze 1642.							
47252.0	Nardini, Carlo	Carlo Nardini	Carlo	Nardini											male	italian:1									
47254.0	Neagri, Cornelio	Cornelio Neagri	Cornelio	Neagri											male	italian:1								what kind of writer? Travel exploration	
47262.0	Nigido, Francesco	Francesco Nigido	Francesco	Nigido											male	italian:2									
47271.0	Orsucci, Giambattista	Giambattista Orsucci	Giambattista	Orsucci				historian	history	history/classical scholarship	history/classical scholarship				male	italian:1									
47276.0	Paleari, Cesare	Cesare Paleari	Cesare	Paleari											male	italian:1									
47280.0	Pappadopolis, Nicolas	Nicolas Pappadopolis	Nicolas	Pappadopolis											male	greek:1									letter in greek script
47282.0	Pardo, Pedro de Burdeos	Pedro de Burdeos Pardo	Pedro de Burdeos	Pardo											male	spanish:1									
47287.0	Pavias, [unidentified]	[unidentified] Pavias	[unidentified]	Pavias											male	italian:1									
47288.0	Payen, Antoine François	Antoine François Payen	Antoine François	Payen				astronomer, juriconsult (Avocat)	astronomy	natural philosophy	natural philosophy	juriconsult	secular_official		male	italian:5;latin:6;french:1	Yes	Specvla astronomica, Paris 1665. Prodromus Iustinianus ad restituendam e fundamentis tum canonicam tum civilem iurisprudentiam necessarius, Paris 1665.							
47292.0	Petit, Pierre	Pierre Petit	Pierre	Petit					astronomy	natural philosophy	natural philosophy	engineer	professional		male	latin:2	Yes	De Amazonibus dissertatio, 1687. Miscellanearum observationum Libri quatuor, 1682.		Montluçon, France	1594-12-8	Lagny-sur-Marne, France	1677-8-20	fortification specialist, creator of astronomical instruments	
47294.0	Pfeiffer, Daniel	Daniel Pfeiffer	Daniel	Pfeiffer											male	latin:1									
47297.0	Pistor, Valentin	Valentin Pistor	Valentin	Pistor				preacher		religious/morality	religious/morality	preacher	clergy		male	latin:2	Yes	Christ-catholische Seelenwacht bey, Francfurti 1652.							
47300.0	Podestà, Giovanni Battista	Giovanni Battista Podestà	Giovanni Battista	Podestà				interpreter, professor		history/classical scholarship,languages	history/classical scholarship,languages	interpreter,professor	professional		male	latin:14;italian:1	Yes	Annali ottomanici, Vienna 1672. Fax reminiscentiae ad accessum practicum in lectiones scripturarum arabicarum vocalibus destitutarum : praesupposita scientia grammaticali, Vienae 1689.						isn't he also an orientalist? What kind of professor?	
47301.0	Porcinari, Giovanni Antonio	Giovanni Antonio Porcinari	Giovanni Antonio	Porcinari				Baron d´Ocre				baron	titled_nobility		male	italian:1									
47302.0	Pouch, Ludwig	Ludwig Pouch	Ludwig	Pouch											male	latin:2									
47304.0	Preti, Pietro Antonio	Pietro Antonio Preti	Pietro Antonio	Preti											male	italian;2									
47306.0	Ragusa, Diego	Diego Ragusa	Diego	Ragusa				physician	medicine	natural philosophy	natural philosophy	physician	professional		male	italian:1									
47307.0	Rautenfels, Jakob	Jakob Rautenfels	Jakob	Rautenfels					travel/exploration	travel/exploration	travel/exploration		titled_nobility		male	italian:1	Yes	Viaggio di Spitzberga o Grolando, Bologna 1680.						traveler from Courland to Moskow, Lapland, Nova Zembla	
47308.0	Rautenstein, Johann Ernst	Johann Ernst Rautenstein	Johann Ernst	Rautenstein		Chancellor of Sulzbach		Chancellor of Sulzbach				chancellor	secular_official		male	latin:2	Yes	Lob-Gedicht Dem ... Herrn Anton Gu_ntern, Grafen zu Oldenburg, Emden 1654.							
47312.0	Reisel, Salomon	Salomon Reisel	Salomon	Reisel			7.7116243E7	physician to Duke of Württemberg	medicine	natural philosophy	natural philosophy	physician	professional		male	latin:1	Yes	De valetudine, Basilae 1652. Niderbronner Bades-Art, Eigenschafft, Wirckung und Gebrauch, Strassbourg 1664.			1625.0		1701.0		
47315.0	Reyner, John	John Reyner	John	Reyner		Johannes Reyneri filius Cools									male	latin:3;persian:1									
47320.0	Rinaldini, Giovanni Battista	Giovanni Battista Rinaldini	Giovanni Battista	Rinaldini											male	latin:1									
47321.0	Riviera, Maria Antonia	Maria Antonia Riviera	Maria Antonia	Riviera											female	italian:1									
47324.0	Rolfink, Werner	Werner Rolfink	Werner	Rolfink			5.7370875E7	physician	botany,medicine	natural philosophy	natural philosophy	physician	professional		male	latin:1	Yes	De catarrho oculorum aurium nasi morbis, Jenae 1636.			1599-11-15		1673-5-6		
47327.0	Rottendorff, Bernhard	Bernhard Rottendorff	Bernhard	Rottendorff				physician	medicine	natural philosophy	natural philosophy	physician	professional		male	latin:1	Yes	Consilium oder ra_thliches Gutachten, die anhero schwebende epidemische Hauptkrankheit oder Ungarische Fiebersucht betr., Muenster 1628. Hugonis Floriacensis monachi Benedictini Chronicon, Monasterii Westphaliae 1638. Observationum medicinalium libri tres, Francofurti 1643.						also an editor/author?	
47329.0	Ruegh, Johann Heinrich	Johann Heinrich Ruegh	Johann Heinrich	Ruegh											male	latin:1									
47331.0	Sachs von Löwenheim, Philipp Jakob	Philipp Jakob Sachs von Löwenheim	Philipp Jakob	Sachs von Löwenheim			4.5227957E7	physician	medicine	natural philosophy	natural philosophy	physician	professional		male	latin:3	Yes	Oceanus macro-microcosmicus, seu dissertatio epistolica de analogo motu aquarum ex & ad oceanum, sanguinis ex & ad cor, Vratislaviae 1664. Dissertatio epistolica de cancris et serpentibus petrefactis ad Philippum Jacobum Sachs a Lewenheimb, cui accessit responsoria dissertatio historico-medica,  1664.		Breslau, Poland	1627-8-26	Breslau, Poland	1672-1-7		
47332.0	Saffyr, Karl	Karl Saffyr	Karl	Saffyr											male	latin:1									
47334.0	Saint-Légier, Jean-Baptiste Tonduty de	Jean-Baptiste Tonduty de Saint-Légier	Jean-Baptiste Tonduty de	Saint-Légier		Primarius of the University of Avignon		Primarius of the University of Avignon				primarius	secular_official		male	latin:2									
47338.0	Saluzzo, Giovanni Domenico de	Giovanni Domenico de Saluzzo	Giovanni Domenico de	Saluzzo											male	italian:2									
47339.0	Salvago, Benedetto	Benedetto Salvago	Benedetto	Salvago				writer, poet	poetry,apology	poetry,other	poetry,other				male	latin:1;italian:1;dutch:1	Yes	Apologia pro pietate Messanensium ex traditione repromissae protectionis in epistola B. M. Virginis ; adversu_s Rocchum Pirrum Netinum, Messanae 1634.							
47341.0	Sanset de Puy, Raimond	Raimond Sanset de Puy	Raimond	Sanset de Puy											male	latin:1									
47348.0	Sauvalle, Henri	Henri Sauvalle	Henri	Sauvalle		Sauval		scholar	history	history/classical scholarship	history/classical scholarship				male	french:1	Yes			Paris, France	1623.0		1676-3-21		
47350.0	Sbarra, Filippo	Filippo Sbarra	Filippo	Sbarra		Filippo Renato Sbarra			music	music	music				male	italian:1	Yes	Il Serafino Della Terra S. Filippo Neri : Oratorio Cantato Nella Capella Della Sacra Cesarea Real Maesta_ Dell'Imperatrice Eleonora, Vienna 1679.						composer	
47359.0	Scheffer, Johann Ernst	Johann Ernst Scheffer	Johann Ernst	Scheffer											male	latin:1									
47361.0	Schenck, Joseph Theodor	Joseph Theodor Schenck	Joseph Theodor	Schenck				professor of medicine at the University of Jena,physician	medicine	natural philosophy	natural philosophy	physician,professor	professional		male	latin:2									
47365.0	Schorn, Michael	Michael Schorn	Michael	Schorn											male	german:3									
47367.0	Schroek, Lucas d. J.	Lucas d. J. Schroek	Lucas d. J.	Schroek				physician	medicine	natural philosophy	natural philosophy	physician	professional		male	latin:9	Yes	Pharmacopoeia augustana renovata et aucta …, Augustae Vindelicorum 1684.							
47377.0	Severino, Marcaurelio	Marcaurelio Severino	Marcaurelio	Severino				physician	medicine	natural philosophy	natural philosophy	physician	professional		male	latin:2;italian:2					1580.0		1656.0		
47378.0	Severo, Giovanni Andrea	Giovanni Andrea Severo	Giovanni Andrea	Severo											male	italian:1									
47380.0	Sigler, Eberhard	Eberhard Sigler	Eberhard	Sigler		Fuldensis									male	latin:1									
47382.0	Simon de Monte Libano, Moses	Moses Simon de Monte Libano	Moses	Simon de Monte Libano											male	latin:1;arabic:1									
47383.0	Sinibaldi, Carlo	Carlo Sinibaldi	Carlo	Sinibaldi		Andrea			music	music	music				male	italian:1	Yes	I Mirti Intrecciati A Gli Allori Nelle Nozze Avgvstissime delle Sacre, E Reali Maesta_ Di Givseppe Re'De'Romani, E Di Amelia Nata Principessa D'Hannover : Ode Pindarica Epitalamica Del Cavaliere Don Carlo Andrea Sinibaldi Dell'Ordine di S. Iago, Patricio Faentino : All' ... Sig. Cardinale Vincenzo Grimani, Faenza 1699.Irene Conciliatrice Dell'Evropa, E Dell'Asia, Nella Tregua di Vinticinque Anni, Seguita nel Congresso di Carlouitz in Schiauonia, L'Anno M. D C. I C. : Tra la Sacra, e Cesarea Maesta_ di Leopoldo Primo Imperatore de'Romani ... ; Ode Pindarica Del Caualiere D. Carlo Andrea Sinibaldi dell'Ordine di S. Iago, Patricio Faentino All' ... Conte Ferdinando D'Arrach .... Faenza 1699.							
47387.0	Sozzifanti, Baldassaro	Baldassaro Sozzifanti	Baldassaro	Sozzifanti											male	italian:4									
47392.0	Sozzino, Mariano	Mariano Sozzino	Mariano	Sozzino											male	italian:1									
47402.0	Steiß, Daniel	Daniel Steiß	Daniel	Steiß											male	latin:1									
47408.0	Strada (alias Wegerer), Giovanni Filippo	Giovanni Filippo Strada (alias Wegerer)	Giovanni Filippo	Strada (alias Wegerer)											male	italian:1									
47412.0	Terentii, Paolo Antonio	Paolo Antonio Terentii	Paolo Antonio	Terentii											male	italian:1									
47417.0	Torrini, Bartolomeo	Bartolomeo Torrini	Bartolomeo	Torrini					mathematics	natural philosophy	natural philosophy				male	italian:1	Yes	Parnassus triceps, seu Musarum afflatus physiatromatematici… 1655.							
47419.0	Travagin, Francesco	Francesco Travagin	Francesco	Travagin				Member of the Royal Society				academy member			male	latin:5;italian:2									
47431.0	Vehr, Georg	Georg Vehr	Georg	Vehr											male	italian:1									
47434.0	Verstegen, Henricus	Henricus Verstegen	Henricus	Verstegen											male	latin:1									
47435.0	Vesling, Johann	Johann Vesling	Johann	Vesling			1.554531E7	professor of anatomy and pharmacy,anatomist	anatomy,pharmacy	natural philosophy	natural philosophy	professor	professional		male	latin:4	Yes	De plantis Aegyptiae Observationes, Patavium 1638. Ioannis Veslingii ... Syntagma anatomicvm, locis plurimis auctum, emendatum, neu isque iconibus diligenter exornatum.			1598.0		1649-8-30		
47436.0	Veyron, Gaspard	Gaspard Veyron	Gaspard	Veyron											male	latin:1							1731.0		
47445.0	Walther, Johann Jakob	Johann Jakob Walther	Johann Jakob	Walther			2.2329147E7	musician	music	music	music	violinist,composer,canon	professional,clergy		male	latin:1;italian:1	Yes	Hortulus chelicus, das ist Wohlgepflantzter violinischer Lust-Garten : darin allen kunst-begierigen musicalischen Liebhabern der Weeg zur Vollkommenheit durch curio_se Stu_ck und annehmliche varieta_t gebahnet : auch durch Beru_hrung zuweilen zwey, drey, vier Seithen auff der Violin die lieblichste Harmonie erwiesen wird, Mainz 1694.		Witterba, Germany	1650.0	Mainz, Germany	1717-11-2		
47454.0	Werckmann, Christoph	Christoph Werckmann	Christoph	Werckmann		Weickmann			collecting	other	other	merchant	professional		male	german:1	Yes	Verzeichnus Unterschidlicher Thier/ Vo_gel/ Fisch/ Meergewa_chs/ Ertz- und Bergarten/ Edlen und anderen Steinen/ außla_ndischem Holtz und Fru_chten/ Kunst- und frembden Sachen/ Mahlereyen/ Muschel und Schneckenwerck/ Heydnischen und andern Mu_ntzen, Ulm 1655.New-erfundenes grosses Ko_nigs-Spiel : welches sich zwar mit dem sinnreichen ... Schach-Spiel vergleichet, Ulm 1664.			1617.0		1681.0		
47460.0	Wiegand, Melchior	Melchior Wiegand	Melchior	Wiegand											male										
47469.0	Zellani, Gregorio	Gregorio Zellani	Gregorio	Zellani											male	italian:1									name unreadable
47483.0	Fogelius, Martin	Martin Fogelius	Martin	Fogelius		Vogel,Vogelius	6.9687638E7	professor in Hamburg	languages	languages	languages	professor	professional		male	latin:2					1634.0		1675.0	what kind of professor?	
