documentid,title,doc_type,subject,language,,author_ln,author_fn,author_occupation,,recipient_fn,recipient_ln,recipient_occupation,source_location,source_lat,source_long,sent_yr,,,,,,
504,"Alexander VII, Pope (Fabio Chigi) to Kircher, Aachen, 24 February 1651",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Aachen,50.7755,6.0815,1651,0,24,16,,,
505,"Alexander VII, Pope (Fabio Chigi) to Kircher, Aachen, 10 June 1651",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Aachen,50.7755,6.0815,1651,0,10,16,,,
506,"Alexander VII, Pope (Fabio Chigi) to Kircher, Aachen, 24 June 1651",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Aachen,50.7755,6.0815,1651,0,24,16,,,
485,"Alexander VII, Pope (Fabio Chigi) to Kircher, Aachen, 15 January 1650",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Aachen,50.7755,6.0815,1650,0,15,16,,,
493,"Alexander VII, Pope (Fabio Chigi) to Kircher, Aachen, 22 October 1650",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Aachen,50.7755,6.0815,1650,0,22,16,,,
502,"Alexander VII, Pope (Fabio Chigi) to Kircher, Aachen, 11 November 1650",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Aachen,50.7755,6.0815,1650,0,11,16,,,
503,"Alexander VII, Pope (Fabio Chigi) to Kircher, Aachen, 22 August 1650",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Aachen,50.7755,6.0815,1650,0,22,16,,,
489,"Alexander VII, Pope (Fabio Chigi) to Kircher, Cluensi [?], 19 June 1639",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Cluensi,-28.7396,29.8250,1639,0,19,16,,,
494,"Alexander VII, Pope (Fabio Chigi) to Kircher, Cologne, 20 August 1639",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Cologne,50.9407,6.9599,1639,0,20,16,,,
480,"Alexander VII, Pope (Fabio Chigi) to Kircher, Malta, 27 May 1638",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Malta,35.9375,14.3754,1638,0,27,16,,,
500,"Alexander VII, Pope (Fabio Chigi) to Kircher, Malta, 13 March 1636",letter,,Italian,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Malta,35.9375,14.3754,1636,0,13,16,,,
492,"Alexander VII, Pope (Fabio Chigi) to Kircher, Münster, 2 April 1649",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1649,0,2,16,,,
481,"Alexander VII, Pope (Fabio Chigi) to Kircher, Münster, 10 April 1648",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1648,0,10,16,,,
491,"Alexander VII, Pope (Fabio Chigi) to Kircher, Münster, 14 February 1648",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1648,0,14,16,,,
496,"Alexander VII, Pope (Fabio Chigi) to Kircher, Münster, 29 May 1648",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1648,0,29,16,,,
487,"Alexander VII, Pope (Fabio Chigi) to Kircher, Münster, 29 March 1647",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1647,0,29,16,,,
490,"Alexander VII, Pope (Fabio Chigi) to Kircher, Münster, 4 January 1647",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1647,0,4,16,,,
498,"Alexander VII, Pope (Fabio Chigi) to Kircher, Münster, 10 May 1647",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1647,0,10,16,,,
497,"Alexander VII, Pope (Fabio Chigi) to Kircher, Münster, 14 September 1646",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1646,0,14,16,,,
495,"Alexander VII, Pope (Fabio Chigi) to Kircher, Münster, 10 August 1645",letter,,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1645,0,10,16,,,
488,"Alexander VII, Pope (Fabio Chigi) to Kircher, Münster, 9 March 1646","letter,autograph","sundials,perspective,optics,gnomonica,clocks,Ars magna lucis et umbrae",Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1646,0,9,16,,,
1722,"Alexander VII, Pope (Fabio Chigi) to John Reyner (copy), Münster, 26 January 1649","letter,copy,apograph",,Latin,11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",677,Reyner,John,,Münster,51.9647,7.6285,1649,0,26,16,,,
278,"Alexander VII, Pope (Fabio Chigi) to Kircher, [Rome], undated [1665-6?]","notes,letter","writing systems,treatise,theology,Sphere,sacred rites,mathematics,inscriptions,history,cryptography,codices,astronomy","Latin,Italian",11,Alexander VII,Pope (Fabio Chigi),"Pope,Bishop of Nardò",51,Kircher,Athanasius,Jesuit (S.J.),Rome,41.8955,12.4823,0,,,16,,,
528,"Alfonso IV, Duke of Modena, to Kircher, Sassuolo, 8 October 1659",letter,,Italian,169,Alfonso IV,Duke of Modena,Duke of Modena,51,Kircher,Athanasius,Jesuit (S.J.),Sassuolo,44.5441,10.7849,1659,0,8,16,,,
2029,"Vincenzo Alias to Kircher, Messina, 29 February 1668",letter,,Latin,224,Alias,Vincenzo,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Messina,38.1923,15.5555,1668,0,29,16,,,
2874,"James Allestree to Kircher, Venice, 27 August 1650",letter,,Italian,225,Allestree,James,,51,Kircher,Athanasius,Jesuit (S.J.),Venice,45.4343,12.3388,1650,0,27,16,,,
2268,"Maria Eustachia von Althann to Kircher, Cluny, undated",letter,,German,226,Althann,Maria Eustachia von,,51,Kircher,Athanasius,Jesuit (S.J.),Cluny,56.1461,-3.2147,0,0,18,16,,,
2250,"Maria Eustachia von Althann to Kircher, no place, undated",letter,,German,226,Althann,Maria Eustachia von,,51,Kircher,Athanasius,Jesuit (S.J.),no place given,0.0000,0.0000,0,,,16,,,
2270,"Maria Eustachia von Althann to Kircher, no place, undated",letter,,German,226,Althann,Maria Eustachia von,,51,Kircher,Athanasius,Jesuit (S.J.),no place given,0.0000,0.0000,0,0,6,16,,,
1283,"Odoardo von Althann to Kircher, Rome, 26 September 1671",letter,,Italian,227,Althann,Odoardo von,,51,Kircher,Athanasius,Jesuit (S.J.),Rome,41.8955,12.4823,1671,0,26,16,,,
2391,"Maria Eustachia von Althann to Kircher, Vienna, October, no year",letter,,German,226,Althann,Maria Eustachia von,,51,Kircher,Athanasius,Jesuit (S.J.),Vienna,48.2092,16.3728,0,0,8,16,,,
2392,"Maria Eustachia von Althann to Kircher, Vienna, 29 October, no year",letter,,German,226,Althann,Maria Eustachia von,,51,Kircher,Athanasius,Jesuit (S.J.),Vienna,48.2092,16.3728,0,0,29,16,,,
2393,"Maria Eustachia von Althann to Kircher, Vienna, 12 September, no year",letter,,German,226,Althann,Maria Eustachia von,,51,Kircher,Athanasius,Jesuit (S.J.),Vienna,41.7813,-5.1930,0,0,12,16,,,
2621,"Johann Altingh to Kircher, Münster, 30 June 1651",letter,,Latin,228,Altingh,Johann,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Münster,51.9647,7.6285,1651,0,30,16,,,
2388,"Johann Ambsterbach to Kircher, Amsterdam, 24 February 1673",letter,,Latin,229,Ambsterbach,Johann,,51,Kircher,Athanasius,Jesuit (S.J.),Amsterdam,52.3738,4.8909,1673,0,24,16,,,
1343,"Friedrich Ampringer to Kircher, Trent, 8 March 1671",letter,,Latin,230,Ampringer,Friedrich,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Trent,46.0667,11.1191,1671,0,8,16,,,
1853,"Johann Georg Anckel to Kircher, Augustusburg, 19 December 1664",letter,,German,231,Anckel,Johann Georg,"agent (commercial), librarian, advisor to Duke August of Brunswick-Lüneburg",51,Kircher,Athanasius,Jesuit (S.J.),Augustusburg,50.8151,13.1028,1664,0,19,16,,,
1101,"Alexander Andreas to Kircher, Amsterdam, 8 June 1669",letter,,Latin,232,Andreas,Alexander,,51,Kircher,Athanasius,Jesuit (S.J.),Amsterdam,52.3738,4.8909,1669,0,8,16,,,
1166,"Andreas Alexander to Kircher, Cologne, 30 December 1669",letter,,Latin,232,Andreas,Alexander,,51,Kircher,Athanasius,Jesuit (S.J.),Cologne,50.9407,6.9599,1669,0,30,16,,,
1674,"François Annat to Kircher, no place, 21 August 1664",letter,,Italian,233,Annat,François,"Jesuit (S.J.),confessor to Louis XIV",51,Kircher,Athanasius,Jesuit (S.J.),no place given,0.0000,0.0000,1664,0,21,16,,,
2487,"Johannes Appenzeller to Corneliua Adriansens, Ingolstadt, 27 June 1600",letter,"sundials,calendar,astronomy",Latin,967,Appenzeller,Johannes,Jesuit (S.J.),968,Adriansens,Cornelius,Jesuit (S.J.),Ingolstadt,48.7621,11.4254,1600,0,27,16,,,
1361,"Angelico Aprosi to Kircher, Ventimiglia, 22 December 1671",letter,,Italian,236,Aprosi,Angelico,"author, antiquarian, monk",51,Kircher,Athanasius,Jesuit (S.J.),Ventimiglia,45.4384,10.9917,1671,0,22,16,,,
1712,"Antonio Aradz to Kircher, no place, undated",letter,,Latin,237,Aradz,Antonio,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),no place given,0.0000,0.0000,0,0,5,16,,,
2941,"Ignazio Arcamone to Kircher, no place, undated",letter,,"unidentified language,Italian,Hebrew,Greek",1005,Arcamone,Ignazio,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Coimbra,40.2115,-8.4292,0,,,16,,,
2155,"Antonio Arcamone to Kircher, Goa, 1 September 1671",letter,,Latin,238,Arcamone,Antonio,Jesuit (S.J.),51,Kircher,Athanasius,Jesuit (S.J.),Goa,15.4254,73.9830,1671,0,1,16,,,
1167,"Wenzel (Wenceslaus) Ardensbach von Ardensdorff to Kircher, Brno (Brünn), 4 April 1670",letter,,Latin,239,Ardensbach von Ardensdorff,Wenzel (Wenceslaus),physician,51,Kircher,Athanasius,Jesuit (S.J.),Brno (Brünn),49.1910,16.6115,1670,0,4,16,,,
1016,"Wenzel (Wenceslaus) Ardensbach von Ardensdorff to Kircher, Brno (Brünn), 22 March 1669",letter,,Latin,239,Ardensbach von Ardensdorff,Wenzel (Wenceslaus),physician,51,Kircher,Athanasius,Jesuit (S.J.),Brno (Brünn),49.1910,16.6115,1669,0,22,16,,,
1193,"Wenzel (Wenceslaus) Ardensbach von Ardensdorff to Kircher, Brno (Brünn), 25 August 1668",letter,,Italian,239,Ardensbach von Ardensdorff,Wenzel (Wenceslaus),physician,51,Kircher,Athanasius,Jesuit (S.J.),Brno (Brünn),49.1910,16.6115,1668,0,25,16,,,
2015,"Wenzel (Wenceslaus) Ardensbach von Ardensdorff to Kircher, Brno (Brünn), 16 October 1667",letter,,Latin,239,Ardensbach von Ardensdorff,Wenzel (Wenceslaus),physician,51,Kircher,Athanasius,Jesuit (S.J.),Brno (Brünn),49.1910,16.6115,1667,0,16,16,,,
2157,"Wenzel (Wenceslaus) Ardensbach von Ardensdorff to Kircher, Olmütz, 20 July 1672",letter,,Latin,239,Ardensbach von Ardensdorff,Wenzel (Wenceslaus),physician,51,Kircher,Athanasius,Jesuit (S.J.),Olmütz,49.5954,17.2519,1672,0,20,16,,,
2866,"Alessandro Argoli to Kircher, Elba, 21 March, 1653",letter,,Italian,240,Argoli,Alessandro,bishop,51,Kircher,Athanasius,Jesuit (S.J.),Elba,42.7618,10.2408,1653,0,21,16,,,
2867,"Alessandro Argoli to Kircher, Elba, 18 April 1653",letter,,Italian,240,Argoli,Alessandro,bishop,51,Kircher,Athanasius,Jesuit (S.J.),elba,42.7618,10.2408,1653,0,18,16,,,
401,"Michele d'Asquies to Kircher, Vienna, 19 July 1655
Michele d'","letter,accompanying letter","visitors,diplomacy,correspondence",Italian,12,Asquies,Michele d',,51,Kircher,Athanasius,Jesuit (S.J.),Vienna,48.2092,16.3728,1655,0,19,16,,,
2137,"Johann Weickard von Auersperg to Kircher, Laibach, 23 April 1671",letter,,Latin,190,Auersperg,Johann Weickard von,prince,51,Kircher,Athanasius,Jesuit (S.J.),Laibach,46.0514,14.5060,1671,0,23,16,,,
594,"Johann Weickard von Auersperg to Kircher, Regensburg, 9 February 1654",letter,,Latin,190,Auersperg,Johann Weickard von,prince,51,Kircher,Athanasius,Jesuit (S.J.),Regensburg,49.0165,12.1009,1654,0,9,16,,,
405,"Johann Weickard von Auersperg to Kircher, Vienna, 12 November 1665",letter,,Latin,190,Auersperg,Johann Weickard von,prince,51,Kircher,Athanasius,Jesuit (S.J.),Vienna,48.2092,16.3728,1665,0,12,16,,,
1652,"Johann Weickard von Auersperg to Kircher, Vienna, 3 May, 1661",letter,,Latin,190,Auersperg,Johann Weickard von,prince,51,Kircher,Athanasius,Jesuit (S.J.),Vienna,48.2092,16.3728,1661,0,3,16,,,
588,"Johann Weickard von Auersperg to Kircher, Vienna, 27 October 1655",letter,,Latin,190,Auersperg,Johann Weickard von,prince,51,Kircher,Athanasius,Jesuit (S.J.),Vienna,48.2092,16.3728,1655,0,27,16,,,
595,"Johann Weickard von Auersperg to Kircher, Vienna, 30 May 1651",letter,,Latin,190,Auersperg,Johann Weickard von,prince,51,Kircher,Athanasius,Jesuit (S.J.),Vienna,48.2092,16.3728,1651,0,30,16,,,
2115,"August, Duke of Braunschweig-Lüneburg to Kircher, no place, 1660","postscript,letter",,Latin,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),no place given,0.0000,0.0000,1660,,,16,,,
316,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 18/28 June 1666",letter,"patronage,mining,metallurgy,Iter Etruscum,books",German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1666,0,18,19,,,
317,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 28 May 1666",letter,,German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1666,0,28,16,,,
319,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 21/31 January 1666",letter,"calendars,astronomy",German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1666,0,31,20,,,
323,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 16/26 April 1666",letter,,German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1666,0,26,20,,,
381,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 20/30 August 1666",letter,,German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1666,0,20,19,,,
318,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 7/17 August 1665",letter,"telescope,pharmacy,pharmaceutical samples,optics,Mentorella,medicine,lens-making,Historia Eustachio-Mariana,gifts,Collegio Romano,Arithmologia",German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1665,0,17,20,,,
387,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 30 June 1665",letter,,German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1665,0,30,16,,,
282,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 6/16 June 1664",letter,"polygraphy,Polygraphia Nova,cryptography",German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1664,0,16,20,,,
283,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 19/29 September 1664",letter,Mundus Subterraneus,German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1664,0,29,20,,,
388,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel. 25 July 1664",letter,,German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1664,0,25,16,,,
1230,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 5 February 1664",letter,,German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1664,0,5,16,,,
344,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 30 September/10 October 1661",letter,"books,authorship",German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1661,0,30,19,,,
2114,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 16 July 1660",letter,,German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1660,0,16,16,,,
510,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 18 December 1659",letter,,German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1659,0,18,16,,,
512,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 5 January 1651",letter,,Latin,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,46.8389,14.8455,1651,0,5,16,,,
1855,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 1 June 1664, deciphered by Kircher","letter,cryptogram","steganography,cryptography,ciphers","Latin,German",13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1664,0,1,16,,,
511,"August, Duke of Braunschweig-Lüneburg to Kircher, Wolfenbüttel, 26 May 1656","letter,excerpt",,German,13,August,Duke of Braunschweig-Lüneburg,Duke of Braunschweig-Lüneburg,51,Kircher,Athanasius,Jesuit (S.J.),Wolfenbüttel,52.1623,10.5322,1656,0,26,16,,,
1009,"Vincenzo Auria to Kircher, Palermo, 6 December 1652",letter,,Italian,244,Auria,Vincenzo,"writer, historian",51,Kircher,Athanasius,Jesuit (S.J.),Palermo,38.1156,13.3614,1652,0,6,16,,,
2892,"Vincenzio Auria to Kircher, Palermo, 4 October 1652",letter,,Italian,244,Auria,Vincenzo,"writer, historian",51,Kircher,Athanasius,Jesuit (S.J.),Palermo,38.1156,13.3614,1652,0,4,16,,,
2148,"Cristoforo Auria to Kircher, Ravenna, 10 October 1673",letter,,Latin,243,Auria,Cristoforo,,51,Kircher,Athanasius,Jesuit (S.J.),Ravenna,44.4157,12.1966,1673,0,10,16,,,
,,,,,,,,,,,,,,,,,,,,,,
1103,"Giovanni Aziccio to Kircher, Lucca, 12 March 1667",letter,,Latin,245,Aziccio,Giovanni,,51,Kircher,Athanasius,Jesuit (S.J.),Lucca,43.8430,10.5080,1667,0,12,16,,,
2013,"Giovanni Aziccio to Kircher, Lucca, 5 February 1667",letter,,Latin,245,Aziccio,Giovanni,,51,Kircher,Athanasius,Jesuit (S.J.),Lucca,43.8430,10.5080,1667,0,5,16,,,
1730,"Giovanni Aziccio to Kircher, Lucca, 22 January 1663",letter,,Latin,245,Aziccio,Giovanni,,51,Kircher,Athanasius,Jesuit (S.J.),Lucca,43.8430,10.5080,1663,0,22,16,,,
2902,"Salomon Azubi to Kircher, Constantinople (Istanbul), undated",letter,,"unidentified language,Latin,Hebrew,Arabic",246,Azubi,Salomon,Rabbi,51,Kircher,Athanasius,Jesuit (S.J.),Constantinople (Istanbul),41.0292,28.9516,0,,,16,,,
2904,Rabbi Salomonis Azubi Constantinop: Literae de usu Thephilin alijsque rebus Aegyptiacis,letter,,Hebrew,246,Azubi,Salomon,Rabbi,51,Kircher,Athanasius,Jesuit (S.J.),no place given,0.0000,0.0000,0,,,16,,,
