other_links.entity_id,Full name (vernacular),First name,Last name,Full name,VIAF ID,Title (same as alias?),Alias,Old Occupation data from Kircher DB,expertise/interests,expertise/interests major fields,office/position,Communities,Religion,Gender,Language(s),Published/circulated author?,Publication details,Spouse Name,"Location born (city, country)",birthdate,"Location died (city, country)",deathdate,Biographical notes,comments
47035,Albert Otto Faber,Albert Otto,Faber,"Faber, Albert Otto",,,,"Physician at the court of Charles II., alchemist",alchemy,other,physician,professional,Quaker,male,latin:1,,,,,,,,,
47000,Albrecht Curtz,Albrecht,Curtz,"Curtz, Albrecht",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:2,,,,,,,,,
47044,Albrecht Ernst von Freyberg,Albrecht Ernst von,Freyberg,"Freyberg, Albrecht Ernst von",,,,,,,,,,male,latin:1,,,,,,,,,
47448,Albrecht Ernst von Wartenberg,Albrecht Ernst von,Wartenberg,"Wartenberg, Albrecht Ernst von",,,Bishop,bishop,,,bishop,"church_offical,titled_nobility",Catholic,male,latin:1,Yes,"Schatz-Kammer Der seeligsten Jungfrauen Maria aus Sion in dem neuen Jerusalem genandt : In welchem Der Ursprung der wunderbarlichen Stifftung der Kirchen unser Lieben Frauen des h. Ro_mischen Reichs freyen Stifft zu Nidermu_nster in Regenspurg beschrieben wird, Regensburg 1674. Ursprung und Herkom[m]en Der vormahls Herrlich- und Ko_niglichen Haupt-Statt Noreja Sampt dero Ko_nigreich Nortgau : wie selbe auch sambt dem Ko_nigreich von Haydnischen Ro_mern erobert worden und Augusta Tiberij benannt, anjetzo: Regens-Burgg ...Regensburg 1688.",,,,,,,
47394,Albrecht Spieh,Albrecht,Spieh,"Spieh, Albrecht",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:1,,,,,,,,,
46746,Alejandro Fabián,Alejandro,Fabián,"Fabián, Alejandro",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,spanish:17,,,,,,,,,
46883,Alessandro Argoli,Alessandro,Argoli,"Argoli, Alessandro",,,Bishop,bishop,,,bishop,"church_official,clergy",Catholic,male,italian:2,,,,,,,,,
47372,Alessandro Segni,Alessandro,Segni,"Segni, Alessandro",,,,"secretary to Prince Leopold de' Medici, diplomat, secretary in Accademia della Crusca and Accademia del Cimento",,natural philosophy,"secretary,diplomat",secular_official,Catholic,male,italian:9,Yes,"Memorie de' viaggi, e feste per le reali nozze de'serenissimi sposi Violante Beatrice di Baviera, e Ferdinando Principe di Toscana, Firenze 1688. Le prove della sapienza, e del valore : festa a cavallo sotto la condotta del serenissimo principe di Toscana, Firenze 1686. Vocabolario degli accademici della Crusca, in questa 3. impressiono nuovamente cor., copiosumente accresciuto ., Firenze 1691.",,,1633,,1698,,
46875,Alexander Andreas,Alexander,Andreas,"Andreas, Alexander",,,,,,,,,,male,latin:2,,,,,,,,,
47118,Alexander Hofer,Alexander,Hofer,"Hofer, Alexander",,,,dean by St. Martin und Kastulus in Landshut,,,,"clergy, church_official",Catholic,male,latin:2,,,,,,,,,
46900,Alexandre Barvoet,Alexandre,Barvoet,"Barvoet, Alexandre",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:1,Yes,Vita R. P. Bernardini Realini e Societate Iesu. 1646; Catalogus praecipuorum Auctorum ineditorum mss. qui in bibliotheca Scorialensi asservantur. 1702. ,,,,,,,
47463,Alexandre Wiltheim,Alexandre,Wiltheim,"Wiltheim, Alexandre",,,,Jesuit (S.J.),,religious/morality,jesuit,clergy,Catholic,male,latin:2,Yes,"Acta D. Dagoberti Francorvm Regis Et Martyris, Augustae Treverorum 1653.Livret de prieres a Nostre Dame de Consolation : avec autres prieres communes et quelques miracles nouvellement faicts par son intercession, Treves 1661. Vita venerabilis Yolandae Priorissae, Antverpia 1674.",,,,,,,
46730,Alfonso Letta,Alfonso,Letta,"Letta, Alfonso",,,Cardinal of Santa Croce,Cardinal of Santa Croce,,,cardinal,"church_official,clergy",Catholic,male,italian:1,,,,,,,,,
47143,Alphonsus Khonn (Kuhn),Alphonsus,Khonn (Kuhn),"Khonn (Kuhn), Alphonsus",,,,physician,medicine,natural philosophy,physician,professional,,male,"latin,italian:1;latin:2;italian:2",Yes,"Zachia, Paulus, and Alphonsus Khonn. Pauli Zachiæ, Medici Romani De Affectionibus Hypochondriacis Libri Tres. Augustae Vindelicorum: Go_rlinus, 1671; Transmutatio metallica curiosa et genuina. 1713. ",,,,,,,
52865,Ambrosio Landucci,Ambrosio,Landucci,"Landucci, Ambrosio",,,Ambrogio,Augustinian,history,history/classical scholarship,bishop,church_offical,Catholic,male,,Yes,"Sacra Ilicetana sylva : sive, Origo et chronicon breve coenobii et congregat[ion]is de Iliceto Ord. Erem. S.P. Augustini in Tuscia, inscriptum et dicatum serenissimo Cosmo magno Hetruriae principi, 1653",,,1599,,1669,bishop of Porfirio,
47060,Amerdey Gening,Amerdey,Gening,"Gening, Amerdey",,,,,,,,,,,italian:1,,,,,,,,,
47349,Andrea Giulio Savini,Andrea Giulio,Savini,"Savini, Andrea Giulio",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,italian:1,,,,,,,,,
46961,Andreas Carmroth,Andreas,Carmroth,"Carmroth, Andreas",,,,,,,,,,male,latin:1,,,,,,,,,
47128,Andreas Huck,Andreas,Huck,"Huck, Andreas",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:1,,,,,,,,,
47145,Andreas Kircher,Andreas,Kircher,"Kircher, Andreas",,,,"Capuchin (O.F.M. Cap.),brother of Athanasius Kircher",,,capuchin,clergy,Catholic,male,latin:5,,,,,,,,,
47146,Andreas Kobavius,Andreas,Kobavius,"Kobavius, Andreas",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:2,Yes,"Vindiciae astronomicae theticae pro Dionysio, cognomento, Exigno, abbate Romano contra eximios chronographos praeter propter summos imos Aeram vulgarem Dionysianam usurpantes. Vienna: Gelbhaar, 1643.",,,,,,,
47226,Andreas Mikker,Andreas,Mikker,"Mikker, Andreas",,,Mikher,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:1,,,,,,,,,
47245,Andreas Müller,Andreas,Müller,"Müller, Andreas",7381809,,,scholar,orientalism,"languages,history/classical scholarship",,,Protestant,male,latin:4,Yes,"Disquisitio geographica et historica, de Chataja …, Berolini 1671",,"Greifenhagen, Germany",1630,"Szczecin, Poland",1694-10-26,,
47353,Andreas Schaffer,Andreas,Schaffer,"Schaffer, Andreas",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:9,,,,,,,,,
47122,Andreas Sixtus Hörrer,Andreas Sixtus,Hörrer,"Hörrer, Andreas Sixtus",,,,Augustinian,,,Augustinian,clergy,Catholic,male,latin:5;italian:1,Yes,"Stansel, Valentin, and Andreas Sixtus Ho_rrer. Propositiones selenographicae sive de Luna. 1655.",,,,,,,
47459,Andreas Wiegand,Andreas,Wiegand,"Wiegand, Andreas",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:2,,,,,,,,,
46966,André Catulle,André,Catulle,"Catulle, André",,"Archdeacon of Tournai, playwright",,,,,archdeacon,"clergy,church_official",Catholic,male,french:1,Yes,"Andreae Catvlli ... Tornacum, civitas metropolis & cathedra episcopalis Nerviorum. Bruxellae: Ex typographia_ Ioannis MommartI, 1652.",,,1588,,1667,,
46879,Angelico Aprosi,Angelico,Aprosi,"Aprosi, Angelico",,,,,"collecting,apology ","history/classical scholarship,other",augustinian,clergy,Catholic,male,italian:1,Yes,"Biblioteca Aprosiana, Bologna, 1673.",,,,,,what kind of author? What kind of monk?,
47159,Antoine de Lalouvère,Antoine de,Lalouvère,"Lalouvère, Antoine de",,,La Loubére,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:2,Yes,"Veterum geometria promota in septem de cycloide libris, Toulouse 1660.",,,,,,,
47288,Antoine François Payen,Antoine François,Payen,"Payen, Antoine François",,,,"astronomer, juriconsult (Avocat)",astronomy ,natural philosophy,juriconsult,secular_official,,male,italian:5;latin:6;french:1,Yes,"Specvla astronomica, Paris 1665. Prodromus Iustinianus ad restituendam e fundamentis tum canonicam tum civilem iurisprudentiam necessarius, Paris 1665.",,,,,,,http://rsnr.royalsocietypublishing.org/content/61/3/251.full
47426,Antoine Valat,Antoine,Valat,"Valat, Antoine",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:1,,,,,,,,,
46880,Antonio Aradz,Antonio,Aradz,"Aradz, Antonio",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:1,,,,,,,,,
46881,Antonio Arcamone,Antonio,Arcamone,"Arcamone, Antonio",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,italian:1,,,,,,,,,
52876,Antonio Barberini,Antonio,Barberini,"Barberini, Antonio",122172229,Archbishop of Reims,,cardinal,,,cardinal,"clergy,church_official",Catholic,male,,,,,"Rome, Italy",1607-8-5,"Nemi, Italy",1671-8-3,,
46974,Antonio Ceschi di Santa Croce,Antonio,Ceschi di Santa Croce,"Ceschi di Santa Croce, Antonio",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:5,,,,,,,,,
47486,Antonio Francesco Del Monte,Antonio Francesco,Del Monte,"Del Monte, Antonio Francesco",,,,,,,,,,male,latin:1,,,,,,,,,
46968,Antonio Juan Centellas,Antonio Juan,Centellas,"Centellas, Antonio Juan",,,,Marquis,,,marquis,titled_nobility,Catholic,male,spanish:8,Yes,"Luz clara de la verdad iuridica. S.l: s.n, 1650; Defensa iuridica en la possesion calificada de la precedencia De el Regente don Antonio Iuan de Centellas, Cauallero de la Orden de Calatraua, de el Consejo Colateral, y Lugarteniente de la Real Camara de la Sumaria. Opugnada De el Regente don Francisco Ortiz. S.l: s.n, 1664; Disceptacion legal historica de el Regente D. Antonio Iuan de Centellas, Cauallero de la Orden de Calatraua, del Consejo Colateral, y Lugartheniente de la Real Camara de la Summaria de Napoles. Con el Regente Donato Antonio de Marinis, de el mesmo Consejo Colateral. Sobre la Precedencia en el Colateral, y en todos los Actos. S.l: s.n, 1665. ",,,,,,,
47038,Antonio Maria Fabbrini,Antonio Maria,Fabbrini,"Fabbrini, Antonio Maria",,,,,,,,,,male,italian:1,,,,,,,,,
47197,Antonio Maria Manfredi,Antonio Maria,Manfredi,"Manfredi, Antonio Maria",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,italian:1,Yes,"Breve ragguaglio della vita della serva di Dio Maria Felice Sbrolli, Foligno 1707.",,,,,,,
47413,Antonio Terillo,Antonio,Terillo,"Terillo, Antonio",,,,Jesuit (S.J.),theology,religious/morality,jesuit,clergy,Catholic,male,italian:1,Yes,"Regula morum siue Tractatus bipartitus de sufficienti ad conscientiam rite formandam regula in quo usus cujusvis opinionis practice probabilis convincitur esse licitus, Leodii 1677. Fundamentum totivs theologiæ moralis, seu tractatvs de conscientia probabili. : in qvo, qva ratione, qva avthoritate irrefragabili, usus cujusvis opinionis practice probabilis demonstrantur esse licitus, Leodii 1668.",,,,,,,
47438,Antonio Vischi,Antonio,Vischi,"Vischi, Antonio",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,italian:1,,,,,,,,,
46725,Archduke of Austria Joseph Karl,Archduke of Austria,Joseph Karl,"Joseph Karl, Archduke of Austria",,,Archduke of Austria,Archduke of Austria,,,archduke,titled_nobility,Catholic,male,latin:1,,,,,,,,,
46729,Archduke of Austria Leopold Wilhelm,Archduke of Austria,Leopold Wilhelm,"Leopold Wilhelm, Archduke of Austria",,,Archduke of Austria,Archduke of Austria,,,"archduke,governor,general","titled_nobility,secular_official",Catholic,male,latin:3,,,,,,,,,
47103,August Hauptmann,August,Hauptmann,"Hauptmann, August",37908338,,,physician,"natural philosophy,medicine",natural philosophy,physician,professional,,male,latin:3,Yes,"Neues Chymisches Kunst-Project und sehr wichtiges Bergk-Bedencken: Vber die allergro_sten Hauptma_ngel des Bergckwercks ...; Benebenst einen vollkommenen Bergk-Bericht. Leipzig: Lo_ffler, 1658; Reibehand, Christoph, and August Hauptmann. Neun und siebentzig grosse und sonderbahre Wunder so in einem special-angegeben Subjecto Theils von der Natur, Theils aber in der gefu_hrten Arbeit sich befunden haben. Gotha: Verlegts Jacob Mevius, 1725; De genuino acidulas egranas salubriter usurpandi modo. Lipsiae: Typis haeredum Timothei Ho_nii, 1651; Insignes aliquot Viticulturæ Errores, Eximis naturæ fundamentis, & tribus ejusdem regnis, secundum veræ Philosophiæ trutinam, & mirae Chymiæ Cynosuram deducti atq[ue] detecti, Das ist: Vberauß grosse Weinbaws-Jrrthumbe: Auß den innersten Gru_nden der Natur/ vnd deroselben dreyen Reichen/ nach der waaren philosophischen Richtschnur/ vnd wundersamen Chymischen Winckelmaß heraußgesuchet und ero_ffnet. Nu_rnberg: Endter, 1642. ",,,1607,,1674,,
46892,Baldassare Ballone,Baldassare,Ballone,"Ballone, Baldassare",,,,,,,,,,male,italian:1,,,,,,,,,
47219,Baldassare Loyola Mendes (Mendez),Baldassare Loyola,Mendes (Mendez),"Mendes (Mendez), Baldassare Loyola",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,italian:2,,,,,,,,,
47387,Baldassaro Sozzifanti,Baldassaro,Sozzifanti,"Sozzifanti, Baldassaro",,,,,,,,,,male,italian:4,,,,,,,,,
46989,Balthasar Conrad,Balthasar,Conrad,"Conrad, Balthasar",74790846,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:4,,,,"Nisa, Poland",1599,"Klodsko, Poland",1660,,
47263,Barthold Nihus,Barthold,Nihus,"Nihus, Barthold",,,controversialist,"Theologian, priest, abbott, Bishop of Myra",theology ,religious/morality,"priest,abbott,bishop","clergy,church_official",Catholic convert,male,latin:60,Yes,"Annotationes de communione Orientalium sub specie unica, Coloniae 1648. Irenicus, ac concordiam cum Catholicis facillima ratione ineundam Lutheranos amice_ invitans. 1634.",,"Holtorf, Germany",1590-2-7,"Erfurt, Germany",1657-3-10,was he also a bishop?,
47110,Bartholomé d' Herbelot,Bartholomé d',Herbelot,"Herbelot, Bartholomé d'",17374112,,"Herbelot de Molainville, Barthe_lemy d'.","orientalist, oriental interpreter to the king of France",orientalism ,languages,"interpreter, professor",professional,Catholic,male,latin:1,Yes,Bibliothe_que orientale ou dictionnaire universel,,,1625,,1695,I assume catholic,
46864,Bartolomeo Alberti,Bartolomeo,Alberti,"Alberti, Bartolomeo",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:3,Yes,"Il cacciator bolognese o vero Brevi notizie intorno alla generazione delli uccelli e a'vari modi piu_ facili o sicuri per prenderli in buon numero. Bologna: Societa_ Tipografica gia_ Compositori, 1929.",,,,,,,
47417,Bartolomeo Torrini,Bartolomeo,Torrini,"Torrini, Bartolomeo",,,,,mathematics,natural philosophy,physician,professional,Catholic,male,italian:1,Yes,"Parnassus triceps, seu Musarum afflatus physiatromatematici… 1655.",,,,,,,http://books.google.cz/books?id=IPwBAAAAQAAJ&pg=PT20&dq=Bartolomeo+Torrini&hl=en&sa=X&ei=LdU7T4jqMsGi-gaWh8isBw&redir_esc=y#v=onepage&q=Bartolomeo%20Torrini&f=false
47339,Benedetto Salvago,Benedetto,Salvago,"Salvago, Benedetto",,,,"writer, poet, agent of Messina in Rome","poetry,apology","poetry,other","jurist, diplomat, poet",professional,Catholic,male,latin:1;italian:1;dutch:1,Yes,"Apologia pro pietate Messanensium ex traditione repromissae protectionis in epistola B. M. Virginis ; adversu_s Rocchum Pirrum Netinum, Messanae 1634.",,,1634,,1670,,
47153,Benjamin Krause,Benjamin,Krause,"Krause, Benjamin",,,Gottlieb Benjamin Krause,,,,,,,male,latin:2,Yes,"Oratio, de togata virtute, Strassbourg 1649.",,,,,,,
52878,Bernardino Spada,Bernardino,Spada,"Spada, Bernardino",73996886,"Bishop of Albano, Frascati, Sabina and Palestrina",,cardinal,,,cardinal,"clergy,church_official",Catholic,male,,,?,,"Brisighella, Italy",1594-4-21,"Rome, Italy",1661-11-10,,
47065,Bernhard Geyer,Bernhard,Geyer,"Geyer, Bernhard",,,,"Jesuit (S.J.),Confessor to Ferdinand IV, King of the Romans",,,"jesuit,confessor",clergy,Catholic,male,latin:5,,,,,,,,,
47565,Bernhard Gustav von Baden,Bernhard Gustav von,Baden-Durlach,"Baden-Durlach, Bernhard Gustav von",27870530,"cardinal, major-general, prince abbot of Fulda and Kempten",Cardinal,Cardinal,,,"cardinal,major general,prince abbott","church_official,titled_nobility,clergy",Catholic convert,male,latin:2,,,,"Karlsburg, Germany",1631-12-24,"Hammelburg, Germany",1677-12-26,,
52879,Johann Martin Hirt,Johann Martin,Hirt,"Hirt, Johann Martin",37810069,,,,,,councillor,professional,Protestant,male,,,,,,,,1661-3-0,councillor of Duke August,I suggest protestant
,"Bernhardi de Bernitz, Sophianna Corbiniana",Sophianna Corbiniana,Bernhardi de Bernitz,"Bernhardi de Bernitz, Sophianna Corbiniana",,,,,,,,,,,,,,,,,,,,
,"Reisel, Salomon",Salomon,Reisel,"Reisel, Salomon",77116243,,,,,,,,,,,,,,,,,,,
,"Sachs von Löwenheim, Philipp JaKob",Philipp JaKob,Sachs von Löwenheim,"Sachs von Löwenheim, Philipp JaKob",,,,,,,,,,,,,,,,,,,,
,"Golius, Jacobus",Jacobus,Golius,"Golius, Jacobus",10605557,,,,,,,,,,,,,,,,,,,
,"Johann Friedrich, Duke of Brunswick-Lüneburg",Johann Friedrich, Duke of Brunswick-Lüneburg," Duke of Brunswick-Lüneburg, Johann Friedrich",,,,,,,,,,,,,,,,,,,,
46733,Bernhard Ignaz von Martinitz,Bernhard Ignaz von,Martinitz,"Martinitz, Bernhard Ignaz von",,,Burgrave of Bohemia,Burgrave of Bohemia,,,burgrave,"titled_nobility,secular_official",Catholic,male,latin:24;italian:4,,,,,1615,,1685,,
47327,Bernhard Rottendorff,Bernhard,Rottendorff,"Rottendorff, Bernhard",,,,physician,medicine,natural philosophy,physician,professional,,male,latin:1,Yes,"Consilium oder ra_thliches Gutachten, die anhero schwebende epidemische Hauptkrankheit oder Ungarische Fiebersucht betr., Muenster 1628. Hugonis Floriacensis monachi Benedictini Chronicon, Monasterii Westphaliae 1638. Observationum medicinalium libri tres, Francofurti 1643.",,,,,,also an editor/author?,
47179,Bernhard von Linnius,Bernhard von,Linnius,"Linnius, Bernhard von",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,latin:2,,,,,,,,,
47194,Bernhard von Mallinkrodt,Bernhard von,Mallinkrodt,"Mallinkrodt, Bernhard von",,,,dean of Muenster,,,dean,"church_official,titled_nobility",Catholic convert,male,latin:1,Yes,"De Ortu Ac Progressu Artis Typographicæ Dissertatio Historica, In Qua Præter alia pleraque Ad Calcographices Negocium Spectantia De Auctoribus Et Loco inuentionis præcipue_ inquiritur, Proque Moguntinis Contra Harlemenses concluditur, Coloniae Agrippiae 1640.",,"Ahlen, Germany",1591-11-29,"Burg Ottenstein, Germany",1664-3-7,"can we be more specific than ""bibliophile""?",
46898,Bertel Bartholin,Bertel,Bartholin,"Bartholin, Bertel",90811184,,,"Professor of Rhetoric, antiquarian",antiquarianism,history/classical scholarship,professor,professional,Protestant,male,latin:1,Yes,"Commentarius de Paenula: Accessit Henr. Ernestii eiusdem argumenti epistola. 1655; Exercitatio Philologica De Latini Sermonis Puritate. Kopenhagen: Martzan, 1645.",Sille Marie Globe,"Copenhagen, Denmark",1614-09-21,,1690-01-29,Swedish/Danish,
47578,Botuito Nericio,Botuito,Nericio,"Nericio, Botuito",,,,,,,,,,male,italian:1,,,,,,,,,
46827,Carbone Delmona,Carbone,Delmona,"Delmona, Carbone",,unreadable,,,,,,,,male,italian:1,,,,,,,,,
46759,Carlo Calà,Carlo,Calà,"Calà, Carlo",,,Duke of Diano,Duke of Diano,"history,occultism","history/classical scholarship,other",duke,titled_nobility,Catholic,male,italian:18;latin:4,Yes,"Historia de Svevi nel conqvisto de' regni di Napoli, e di Sicilia, 1660; Memoire historiche dell'apparitione dell croci prodigiose, 1661; Pragmaticae, edicta, decreta, regiaeq. sanctiones, Regni Neapolitani, pluribus additis, suisque loci, 1715. ",,,,,,,
46707,Carlo Conti,Carlo,Conti,"Conti, Carlo",,,Cardinal,"Duke of Poldi,Cardinal",,,"cardinal,duke","church_official,clergy",Catholic,male,latin:1;italian:2,,,,,,,,,
46997,Carlo Costanzo Costa,Carlo Costanzo,Costa,"Costa, Carlo Costanzo",,,,,,,,,,male,italian:1,Yes,"L'astrologo non astrologo, e gl'amori stvrbati; comedia del dottor Ottone Lazaro Scacco [pseud.]. Genova: Per P.G. Calezani ad instanza di G. e G. Andreoli, 1665.",,,,,,,
47001,Carlo Cusani,Carlo,Cusani,"Cusani, Carlo",,,,Jesuit (S.J.),,,jesuit,clergy,Catholic,male,italian:3,,,,,,,,,
47567,Carlo di Theodoli,Carlo di,Theodoli,"Theodoli, Carlo di",,,Marquis,Marquis,collecting,other,marquis,titled_nobility,Catholic,male,italian:1,,,,,1633?,,1697,,
47243,Carlo Moscheni,Carlo,Moscheni,"Moscheni, Carlo",,,,"writer, jurist",law,other,"writer, jurist",professional,Catholic,male,latin:2;italian:1,Yes,"Letter missiue, e responsiue delle bestie, Venezia 1680, Caroli Moschemi Anconitani, Tacitus historiatus, sive aphorismi politice, Taciti regulis accommodati, Giessane 1667.",,,,,,,
47252,Carlo Nardini,Carlo,Nardini,"Nardini, Carlo",,,,,,,,,,male,italian:1,,,,,,,,,http://books.google.cz/books?id=lxZAAAAAcAAJ&pg=PP23&lpg=PP23&dq=Carlo+Nardini+Tivoli&source=bl&ots=GR5ag2IKS6&sig=H0rjQtAveciyQ6OXOkipE1md4WU&hl=cs&sa=X&ei=SFM2T7y3PIeohAeaxc30AQ&ved=0CFkQ6AEwBw#v=onepage&q=Nardini&f=false
46826,Carlo Ottone,Carlo,Ottone,"Ottone, Carlo",,,Monsignor,"Monsignor,Governor of Loreto",,,"monsignor,governor","clergy,secular_official",Catholic,male,italian:1,,,,,,,,,
